name,country,sport,men_women,logo_url,league,short_name
Asante Kotoko,Ghana,Football,Men,,,
Hearts of Oak,Ghana,Football,Men,,,
Aduana Stars,Ghana,Football,Men,,,
Medeama,Ghana,Football,Men,,,
Dreams FC,Ghana,Football,Men,,,
Nations FC,Ghana,Football,Men,,,
Arsenal,England,Football,Men,,,
Chelsea,England,Football,Men,,,
Liverpool,England,Football,Men,,,
Manchester City,England,Football,Men,,,
Manchester United,England,Football,Men,,,
Tottenham Hotspur,England,Football,Men,,,
Newcastle United,England,Football,Men,,,
Aston Villa,England,Football,Men,,,
Real Madrid,Spain,Football,Men,,,
Barcelona,Spain,Football,Men,,,
Atletico Madrid,Spain,Football,Men,,,
Athletic Club,Spain,Football,Men,,,
Sevilla,Spain,Football,Men,,,
Valencia,Spain,Football,Men,,,
Villarreal,Spain,Football,Men,,,
Real Betis,Spain,Football,Men,,,
Inter Milan,Italy,Football,Men,,,
AC Milan,Italy,Football,Men,,,
Juventus,Italy,Football,Men,,,
Napoli,Italy,Football,Men,,,
Roma,Italy,Football,Men,,,
Lazio,Italy,Football,Men,,,
Atalanta,Italy,Football,Men,,,
Fiorentina,Italy,Football,Men,,,
Bayern Munich,Germany,Football,Men,,,
Borussia Dortmund,Germany,Football,Men,,,
Bayer Leverkusen,Germany,Football,Men,,,
RB Leipzig,Germany,Football,Men,,,
Eintracht Frankfurt,Germany,Football,Men,,,
Stuttgart,Germany,Football,Men,,,
Wolfsburg,Germany,Football,Men,,,
Borussia Monchengladbach,Germany,Football,Men,,,
Paris Saint-Germain,France,Football,Men,,,
Marseille,France,Football,Men,,,
Lyon,France,Football,Men,,,
Monaco,France,Football,Men,,,
Lille,France,Football,Men,,,
Nice,France,Football,Men,,,
Lens,France,Football,Men,,,
Rennes,France,Football,Men,,,
Benfica,Portugal,Football,Men,,,
Porto,Portugal,Football,Men,,,
Sporting CP,Portugal,Football,Men,,,
Braga,Portugal,Football,Men,,,
Vitoria Guimaraes,Portugal,Football,Men,,,
Boavista,Portugal,Football,Men,,,
Ajax,Netherlands,Football,Men,,,
PSV Eindhoven,Netherlands,Football,Men,,,
Feyenoord,Netherlands,Football,Men,,,
AZ Alkmaar,Netherlands,Football,Men,,,
FC Utrecht,Netherlands,Football,Men,,,
Twente,Netherlands,Football,Men,,,
Celtic,Scotland,Football,Men,,,
Rangers,Scotland,Football,Men,,,
Aberdeen,Scotland,Football,Men,,,
Hearts,Scotland,Football,Men,,,
Hibernian,Scotland,Football,Men,,,
Flamengo,Brazil,Football,Men,,,
Palmeiras,Brazil,Football,Men,,,
Santos,Brazil,Football,Men,,,
Corinthians,Brazil,Football,Men,,,
Sao Paulo,Brazil,Football,Men,,,
Fluminense,Brazil,Football,Men,,,
Gremio,Brazil,Football,Men,,,
Internacional,Brazil,Football,Men,,,
Boca Juniors,Argentina,Football,Men,,,
River Plate,Argentina,Football,Men,,,
Racing Club,Argentina,Football,Men,,,
Independiente,Argentina,Football,Men,,,
San Lorenzo,Argentina,Football,Men,,,
Estudiantes,Argentina,Football,Men,,,
Inter Miami,USA,Football,Men,,,
LA Galaxy,USA,Football,Men,,,
LAFC,USA,Football,Men,,,
Seattle Sounders,USA,Football,Men,,,
Atlanta United,USA,Football,Men,,,
New York City FC,USA,Football,Men,,,
Club America,Mexico,Football,Men,,,
Cruz Azul,Mexico,Football,Men,,,
Chivas Guadalajara,Mexico,Football,Men,,,
Monterrey,Mexico,Football,Men,,,
Tigres UANL,Mexico,Football,Men,,,
Pachuca,Mexico,Football,Men,,,
Kashima Antlers,Japan,Football,Men,,,
Urawa Red Diamonds,Japan,Football,Men,,,
Yokohama F. Marinos,Japan,Football,Men,,,
Kawasaki Frontale,Japan,Football,Men,,,
Gamba Osaka,Japan,Football,Men,,,
Ulsan HD,South Korea,Football,Men,,,
Jeonbuk Hyundai Motors,South Korea,Football,Men,,,
FC Seoul,South Korea,Football,Men,,,
Pohang Steelers,South Korea,Football,Men,,,
Al Hilal,Saudi Arabia,Football,Men,,,
Al Nassr,Saudi Arabia,Football,Men,,,
Al Ittihad,Saudi Arabia,Football,Men,,,
Al Ahli,Saudi Arabia,Football,Men,,,
Al Shabab,Saudi Arabia,Football,Men,,,
Al Ahly,Egypt,Football,Men,,,
Zamalek,Egypt,Football,Men,,,
Pyramids FC,Egypt,Football,Men,,,
Ismaily,Egypt,Football,Men,,,
Mamelodi Sundowns,South Africa,Football,Men,,,
Orlando Pirates,South Africa,Football,Men,,,
Kaizer Chiefs,South Africa,Football,Men,,,
AmaZulu,South Africa,Football,Men,,,
Wydad AC,Morocco,Football,Men,,,
Raja CA,Morocco,Football,Men,,,
AS FAR,Morocco,Football,Men,,,
FUS Rabat,Morocco,Football,Men,,,
Enyimba,Nigeria,Football,Men,,,
Kano Pillars,Nigeria,Football,Men,,,
Rivers United,Nigeria,Football,Men,,,
Remo Stars,Nigeria,Football,Men,,,
